GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zyra,com.mingweisamuel.zyra.champion,Champion,131,0,16,0,25,0,11,0,3,0
zyra,com.mingweisamuel.zyra.champion,ChampionList,39,0,4,0,9,0,5,0,3,0
zyra,com.mingweisamuel.zyra.spectator,Participant,145,0,18,0,27,0,12,0,3,0
zyra,com.mingweisamuel.zyra.spectator,Mastery,63,0,8,0,13,0,7,0,3,0
zyra,com.mingweisamuel.zyra.spectator,Rune,63,0,8,0,13,0,7,0,3,0
zyra,com.mingweisamuel.zyra.spectator,CurrentGameInfo,198,0,26,0,34,0,16,0,3,0
zyra,com.mingweisamuel.zyra.spectator,Observer,39,0,4,0,9,0,5,0,3,0
zyra,com.mingweisamuel.zyra.spectator,FeaturedGames,60,0,8,0,12,0,7,0,3,0
zyra,com.mingweisamuel.zyra.spectator,FeaturedGameInfo,198,0,26,0,34,0,16,0,3,0
zyra,com.mingweisamuel.zyra.spectator,BannedChampion,80,0,10,0,16,0,8,0,3,0
zyra,com.mingweisamuel.zyra.spectator,CurrentGameParticipant,190,0,24,0,34,0,15,0,3,0
zyra,com.mingweisamuel.zyra.entity,MatchEntity.TeamEntity,23,23,2,0,3,6,4,3,3,3
zyra,com.mingweisamuel.zyra.entity,MatchEntity.ParticipantEntity,20,115,1,7,1,21,3,13,2,10
zyra,com.mingweisamuel.zyra.entity,SummonerEntity,400,638,30,26,83,110,54,55,33,48
zyra,com.mingweisamuel.zyra.entity,Entity,0,12,0,0,0,5,0,2,0,2
zyra,com.mingweisamuel.zyra.entity,EntityApi.EntityKey,10,57,6,6,1,12,6,3,0,3
zyra,com.mingweisamuel.zyra.entity,MatchEntity,61,166,9,1,10,20,9,19,4,19
zyra,com.mingweisamuel.zyra.entity,EntityApi,105,151,0,0,20,21,7,13,7,13
zyra,com.mingweisamuel.zyra,Endpoints,0,6,0,0,0,3,0,1,0,1
zyra,com.mingweisamuel.zyra,SummonerEndpoints,0,125,0,0,0,20,0,7,0,7
zyra,com.mingweisamuel.zyra,LeagueEndpoints,25,155,0,0,4,26,1,8,1,8
zyra,com.mingweisamuel.zyra,LeagueEndpoints.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
zyra,com.mingweisamuel.zyra,ChampionMasteryEndpoints,0,145,0,0,0,22,0,7,0,7
zyra,com.mingweisamuel.zyra,LeagueEndpoints.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
zyra,com.mingweisamuel.zyra,LeagueEndpoints.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
zyra,com.mingweisamuel.zyra,RiotApi,86,204,3,11,14,33,10,13,8,8
zyra,com.mingweisamuel.zyra,LeagueEndpoints.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
zyra,com.mingweisamuel.zyra,ChampionEndpoints,0,104,0,0,0,16,0,7,0,7
zyra,com.mingweisamuel.zyra,LolStaticDataEndpoints,534,1244,0,0,71,107,71,38,71,38
zyra,com.mingweisamuel.zyra,MatchEndpoints,144,312,0,0,12,28,12,11,12,11
zyra,com.mingweisamuel.zyra,RunesEndpoints,0,45,0,0,0,8,0,3,0,3
zyra,com.mingweisamuel.zyra,LolStaticDataEndpoints.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
